"SYMBOL","log2FoldChange","ENTREZID","ENSEMBL_clean"
"Mycn",2.67807190511264,"18109","ENSMUSG00000037169"
"Snai1",1.58496250072116,"20613","ENSMUSG00000042821"
"Dhh",0.906890595608519,"13363","ENSMUSG00000023000"
"Gas1",0.387023123109247,"14451","ENSMUSG00000052957"
"Ptch2",0.337034987277571,"19207","ENSMUSG00000028681"
"Kif7",0.321928094887363,"16576","ENSMUSG00000050382"
"Cdon",0.24392558288609,"57810","ENSMUSG00000038119"
"Gli2",0.15200309344505,"14633","ENSMUSG00000048402"
"Boc",-0.0337883134562835,"117606","ENSMUSG00000022687"
"Ccnd1",-0.127892914019794,"12443","ENSMUSG00000070348"
"Ihh",-0.161463422694117,"16147","ENSMUSG00000006538"
"Gli3",-0.199308808223407,"14634","ENSMUSG00000021318"
"Smo",-0.199637665083934,"319757","ENSMUSG00000001761"
"Shh",-0.289506617194985,"20423","ENSMUSG00000002633"
"Ptch1",-0.327328082629952,"19206","ENSMUSG00000021466"
"Sufu",-0.612976876890754,"24069","ENSMUSG00000025231"
"Gli1",-0.667424660913129,"14632","ENSMUSG00000025407"
"Hhip",-0.68805599368526,"15245","ENSMUSG00000064325"
