"SYMBOL","log2FoldChange","ENTREZID","ENSEMBL_clean"
"H2-Ea",-11.0272148851598,"100504404","ENSMUSG00000036322"
"Gm26316",-9.49385544924082,"115487919","ENSMUSG00000118859"
"Btnl2",-8.12928301694497,"547431","ENSMUSG00000024340"
"Gm23472",-8.02544720596043,"115487687","ENSMUSG00000119668"
"Igkv14-111",-7.76155123244448,"545847","ENSMUSG00000095771"
"Igkv17-121",-7.467605550083,"667435","ENSMUSG00000076514"
"Lncbate10",-7.4594316186373,"442846","ENSMUSG00000118229"
"Igkv4-72",-7.33091687811462,"385109","ENSMUSG00000076545"
"Igkv17-127",-7.05528243550119,"243433","ENSMUSG00000076508"
"Igkv8-27",-7.02236781302845,"434041","ENSMUSG00000076580"
"Igkv8-28",-6.97727992349992,"434040","ENSMUSG00000094356"
"Tmt1a3",-6.93073733756289,"668178","ENSMUSG00000058057"
"Gm15217",-6.84549005094437,"100041724","ENSMUSG00000079261"
"Ighv3-5",-6.6724253419715,"633457","ENSMUSG00000076670"
"Gm2546",-6.4594316186373,"100040001","ENSMUSG00000098019"
"1500026H17Rik",-6.39231742277876,"69002","ENSMUSG00000097383"
"Gm46637",-6.15650448567999,"108168397","ENSMUSG00000117713"
"Apoa4",-5.90689059560852,"11808","ENSMUSG00000032080"
"Igkv4-91",-5.90689059560852,"434033","ENSMUSG00000076532"
"Igkv19-93",-5.68182403997374,"692161","ENSMUSG00000098814"
