"SYMBOL","log2FoldChange","ENTREZID","ENSEMBL_clean"
"Cfd",9.21916852046216,"11537","ENSMUSG00000061780"
"Adipoq",8.10852445677817,"11450","ENSMUSG00000022878"
"Ngp",7.75488750216347,"18054","ENSMUSG00000032484"
"Trim12a",7.48381577726426,"76681","ENSMUSG00000066258"
"Retn",7.4178525148859,"57264","ENSMUSG00000012705"
"Cidec",7.14974711950468,"14311","ENSMUSG00000030278"
"Plin1",7.04439411935845,"103968","ENSMUSG00000030546"
"Hp",6.94251450533924,"15439","ENSMUSG00000031722"
"Muc16",6.65821148275179,"73732","ENSMUSG00000109564"
"Ucp1",6.56985560833095,"22227","ENSMUSG00000031710"
"Ifi44l",6.55458885167764,"15061","ENSMUSG00000039146"
"Pnlip",6.5077946401987,"69060","ENSMUSG00000046008"
"Igkv1-35",6.49185309632967,"620105","ENSMUSG00000076573"
"Ctrb1",6.32192809488736,"66473","ENSMUSG00000031957"
"Cidea",6.24792751344359,"12683","ENSMUSG00000024526"
"Fpr2",6.02236781302845,"14289","ENSMUSG00000052270"
"Ctsk",5.97727992349992,"13038","ENSMUSG00000028111"
"Foxp2",5.97727992349992,"114142","ENSMUSG00000029563"
"Nell2",5.93073733756289,"54003","ENSMUSG00000022454"
"Meg3",5.90689059560852,"17263","ENSMUSG00000021268"
